	а	б	в	г	д	е	ж	з	и	й	к	л	м	н	о	п	р	с	т	у	ф	х	ц	ч	ш	щ	ы	ь	э	ю	я	 
к	0.009463494678691084	0.0	0.0004787462938189062	0.0	0.0	0.0007758992316273616	4.127124514741424e-05	9.286027816119783e-05	0.003382178152753867	0.0	2.6826316584878017e-05	0.0005757337041597312	0.0	0.0006789119660677119	0.009110625379808807	0.0	0.0019665743530705836	7.635175795922887e-05	0.001394967951421274	0.0022307104208058952	0.0	0.0	4.127126218049367e-05	0.0	5.984333143919679e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.004680158225424632
л	0.009224121276285442	4.127122811433481e-05	0.0	9.07967972367814e-05	0.00014444932820806083	0.003790763182486032	0.0001609578313769504	6.809757024883197e-05	0.0066384782374871035	0.0	0.00032191567978698016	6.603396157631981e-05	8.254255842714621e-06	0.0003962039483052529	0.006124651405306764	0.0	0.0	0.0011349590328986687	0.00011762305420588141	0.0011328953986765372	1.650849465234981e-05	0.0	0.0	0.0001341314722093738	0.0003136614835600436	0.0	0.0008254248773986657	0.004506819082674197	8.254255842714621e-06	0.0009863823766305673	0.0015332264450952586	0.0050619168108238235
м	0.0030520080723429976	8.460601380194348e-05	0.0	7.635180054192745e-05	0.0	0.003340906362547911	1.650849465234981e-05	0.0	0.00276723633519301	0.0	0.00013619507236534622	0.00018778412241220922	4.127122811433481e-05	0.0014610019470637527	0.004632696341623555	7.63517749923083e-05	2.4762733461985e-05	0.0001506399668617236	6.603399564247868e-05	0.0019459387603047655	8.254255842714621e-06	0.0	4.9525483957049434e-05	1.8572060742163396e-05	0.0	0.0	0.0013206795466383656	0.00011762297755702396	0.0	0.0	0.00035699620111533456	0.006611652167881877
н	0.011087517699593093	8.25423880963519e-06	2.476275049506443e-05	2.476275049506443e-05	0.00025175457751449345	0.010111453144895054	1.6508511685429242e-05	6.80975276661334e-05	0.006054490354133515	0.0	0.0005241446626294079	0.0	0.0	0.0017375191813913736	0.00970905820875801	0.0	8.66695969248365e-05	0.0002806443665072482	0.0007738357166367864	0.002744537295568934	2.476275049506443e-05	0.0	0.0003673139719486244	0.00019810190176203888	0.0	9.079672910446368e-05	0.003202647826291228	0.000864632326509694	0.0	0.00016508491245733925	0.0017272013339092263	0.002461829362971872
о	0.0	0.0035142455734306637	0.0059203589500564585	0.0042736362422733576	0.0045233271940822595	0.0019892735459923743	0.0023854775453968657	0.0009905096365582901	0.0007284373052435861	0.003834097729710529	0.0025691341609016998	0.006104015931772502	0.005235256030223115	0.006056553639177518	0.00022080111171690888	0.0015951332915250308	0.005930676840121305	0.00620719427884588	0.006780863905923413	4.127126218049367e-05	0.0001073052237568135	0.0008852680640566874	7.635179202538774e-05	0.0024391299912027474	0.0010193996725306965	0.000346678328083568	0.0	0.0	0.0001258772419162783	0.00018984766295240368	0.0006747847742723066	0.02064799993340618
п	0.001958320131294028	0.0	0.0	0.0	0.0	0.001857205699488592	0.0	0.0	0.0009451112421981692	0.0	0.0004395386488274644	0.0009740012015217182	0.0	2.6826299551798585e-05	0.00985350814164039	4.127126218049367e-05	0.0051362055307187	0.0	0.0002290553845927029	0.0007222466665899234	0.0	0.0	0.0	6.809751063305396e-05	1.650849465234981e-05	0.0	0.00035080543471357605	3.301700633777905e-05	0.0	1.6508511685429242e-05	0.00023937322355831054	9.492388683371e-05
р	0.006927376723572431	3.301698930469962e-05	0.0002827079751797604	0.00022699183553596876	0.00025588170969412065	0.004597615769195962	0.00018984767998548308	4.9525483957049434e-05	0.0037144112286463895	0.0	0.000579860998153613	6.190685494631178e-05	0.00024556380259619525	0.0009430477953399117	0.007437076568354318	0.0001361951234645845	6.80975276661334e-05	0.0002579453098500931	0.0004993819376839626	0.002542308414924983	1.650847761927038e-05	0.0001939747866154911	4.127122811433481e-05	5.777972276668462e-05	0.000429220895027254	7.635180054192745e-05	0.00146719244093624	0.00047461931493699393	0.0	0.00017952979843717688	0.0009946368113206159	0.0012794082674247927
с	0.001487827803755486	5.777972276668462e-05	0.0008955858689561362	2.0635618315437267e-05	0.0003260428034500676	0.0035039280410604856	2.8889874158151888e-05	1.6508511685429242e-05	0.0016281501445650948	0.0	0.004005373783297374	0.0027466006317121753	0.0009286029519427726	0.0010606708921284916	0.0023462700792527573	0.0016487858650790087	0.00023730969153465585	0.0005323990462202182	0.0089496674292003	0.0005385896508077222	8.25423880963519e-06	0.00013825867252131865	5.1589058563402734e-05	0.00024762746236794574	5.1589058563402734e-05	0.0	0.0003074707767740631	0.0034647201150232333	0.0	0.0001795299602514315	0.0035555170059419516	0.0024700833207356968
т	0.006240211319249817	5.1589058563402734e-05	0.0016591037892100134	2.4762733461985e-05	0.00010317810861026574	0.003852670028915804	0.0	1.650847761927038e-05	0.003361542142677603	0.0	0.0005303353779319282	0.0002785808940993715	6.809751914959368e-05	0.0012525819934226133	0.013091236335962259	0.00010936879836316678	0.0029137493402059005	0.0011308319262686606	5.7779756832843483e-05	0.0016529131250067315	3.301697227162019e-05	1.8572060742163396e-05	8.25423880963519e-06	0.00012381368434300443	0.0	8.254255842714621e-06	0.001535289840854278	0.006209257640538739	0.0	0.00015683067364770405	0.0005447802383621467	0.006035918599986781
у	3.301698930469962e-05	0.00035905980127130696	0.0005571616774837267	0.0010771792930989047	0.001652912835444381	0.0002187375200774761	0.0013495693015649617	0.00020635614057167405	2.4762716428905568e-05	9.905091681486056e-05	0.0009801917464934441	0.001376395762931015	0.0009863825980605998	0.0003982673951635105	0.0	0.0008027255226626205	0.0006128778256440581	0.001227819294026787	0.0018613326187547263	2.4762733461985e-05	4.127122811433481e-05	0.0004973183801106888	0.00011555942850028981	0.0011638489240899	0.0003838224580844345	0.00032810629289102376	0.0	0.0	8.25423880963519e-06	0.0009533654384251059	3.508056391105293e-05	0.006359897488168907
