	а	б	в	г	д	е	ж	з	и	й	к	л	м	н	о	п	р	с	т	у	ф	х	ц	ч	ш	щ	ы	ь	э	ю	я	 
к	0.009521293699936767	0.0	0.0004539846419574652	0.0	0.0	0.0007676466194768124	4.539843694281943e-05	9.079691646833745e-05	0.0035328245240534573	0.0	3.3017031887398205e-05	0.0005530358057519775	0.0	0.0007387564131736116	0.00905905534719513	0.0	0.0019314980048466906	6.190704231018555e-05	0.0014692587493518425	0.0022699225369806884	0.0	0.0	5.36526672359149e-05	0.0	7.841543476405877e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0046760407765506625
л	0.0091704879245616	3.714420664972395e-05	0.0	0.00012794094427072736	0.0001444496262869509	0.0038382327311728536	0.00016508527015200733	8.254258397676537e-05	0.006553886250426073	0.0	0.00033842477059711014	5.7779884580939236e-05	1.2381379505802073e-05	0.00043334872556313785	0.006071011657661598	0.0	0.0	0.001147342694837115	0.00013206817013229142	0.0011101986500016453	1.6508528718508677e-05	0.0	0.0	0.00011143266253187044	0.0003549331971171422	0.0	0.0008955873934167454	0.004527463915885608	1.2381379505802073e-05	0.0008997151728533909	0.0015352931623047671	0.004886525224584445
м	0.003111857416459234	7.428842181598762e-05	0.0	8.254261804292425e-05	0.0	0.003223290717731583	1.6508528718508677e-05	0.0	0.0027280345325478134	0.0	0.00013206824678114884	0.00018572095659976232	3.714420664972395e-05	0.0015435470945189727	0.004647150774644414	7.016127260328103e-05	2.063567793121528e-05	0.00012794119125037913	7.428834516713018e-05	0.0019232436893881976	1.2381379505802073e-05	0.0	4.952558615552603e-05	2.063565238159613e-05	0.0	0.0	0.0013083009520410511	9.492413381336176e-05	0.0	0.0	0.000359060491111024	0.0066405555577885595
н	0.011077222812702021	4.127149212706602e-06	2.888990822431075e-05	2.888990822431075e-05	0.00026826352354344826	0.01019401614301752	2.4762759011604152e-05	6.190700824402669e-05	0.006025613101487222	0.0	0.0005035102110799118	0.0	0.0	0.0017953022596747066	0.009607964131482495	0.0	8.666977577217055e-05	0.00026000941248190883	0.0007882821866930113	0.002773432705477902	2.888990822431075e-05	0.0	0.0003508063034006271	0.00018159388403591315	0.0	9.492402309834546e-05	0.0031366207290459197	0.0008254265977396885	0.0	0.0001485768265988958	0.0017664124110661737	0.0025092961693329056
о	0.0	0.0034048844995690198	0.0059471973601277345	0.004123005669154941	0.0043582522630094675	0.0019603879045544613	0.002418499320996886	0.0009698761473777819	0.000718121041837826	0.003759817722235781	0.0024143729638223727	0.0061205369542547735	0.005072246121568428	0.005893545425314235	0.0002187380140367797	0.001593073029852627	0.005996722784469006	0.006347528713141886	0.0066488104864379114	5.36526672359149e-05	0.00011143255181685413	0.0009038418706894926	7.841550289637649e-05	0.002393736851547632	0.0010813083755661268	0.0003177892970628481	0.0	0.0	0.00011143262846571159	0.00017746673482320658	0.0007016123598216024	0.02076772863392461
п	0.001935625085927079	0.0	0.0	0.0	0.0	0.0018819721717115124	0.0	0.0	0.0009079692328156921	0.0	0.0004292217892639242	0.0009822574246851074	0.0	2.476280159430273e-05	0.010045438933174335	5.36526672359149e-05	0.005200186282317503	0.0	0.00023937362383567723	0.0007346294768743978	0.0	0.0	0.0	5.3652777950931214e-05	1.6508528718508677e-05	0.0	0.0003136621989493798	4.1271287730112826e-05	0.0	2.4762759011604152e-05	0.00026413635729766226	0.00011555961586416358
р	0.0067602432000690195	3.3017057437017354e-05	0.0002847721118777349	0.00024350073046568524	0.0002765177708696232	0.0046017523632512145	0.00018572096511630204	4.952558615552603e-05	0.0036814020404920705	0.0	0.0006397052408625595	6.190698269440754e-05	0.00021873811623525626	0.000961621721204273	0.007305024502998631	0.00015683093766043525	6.190700824402669e-05	0.0002971533551189016	0.0004870016482952443	0.002657872646753673	8.254298425413205e-06	0.00018159386700283372	3.714420664972395e-05	5.365273536823263e-05	0.00044573020726741653	8.254261804292425e-05	0.0014568777019910893	0.0005200184672691495	0.0	0.00014032265592157835	0.0009987659704366956	0.0012463940545120406
с	0.001353699908492793	5.365273536823263e-05	0.0009120961435652867	2.0635660898135844e-05	0.00034255190277673734	0.003528697911382753	3.3017040403937926e-05	2.4762759011604152e-05	0.0015600562449448808	0.0	0.004135385907444421	0.0026661277201842004	0.0009905114676143291	0.001114325467069303	0.002480405886380847	0.0016302172876015892	0.0002765176942207657	0.00057779831778393	0.008836190464991452	0.0005447814221611672	4.127149212706602e-06	0.00015270383103042724	5.7779824965161224e-05	0.00026826350651036883	5.7779824965161224e-05	0.0	0.0003384247109813321	0.003367740258853137	0.0	0.00021873784370598536	0.003541079469735889	0.0023772285187095366
т	0.006405308461458189	5.7779824965161224e-05	0.0016962511725290518	2.063567793121528e-05	0.0001114325347837747	0.0038960125987207135	0.0	8.254298425413205e-06	0.0033223415664141256	0.0	0.0005241458123622696	0.0003012805554308465	5.777989309747896e-05	0.001234012598357381	0.013128407310096311	0.00011968679062648932	0.0029302637794029725	0.001151469792950583	7.016119595442358e-05	0.0017003782621259802	2.4762827143921882e-05	2.063565238159613e-05	4.127149212706602e-06	0.00011143261994917187	0.0	1.2381379505802073e-05	0.0014568779830368998	0.006252605073287827	0.0	0.0001444496773861892	0.000503510296245309	0.006153553594381345
у	3.3017057437017354e-05	0.00037969607536030237	0.0005489086139565723	0.0010854357291757869	0.001560056347143357	0.00020222954493404903	0.0012835383803933204	0.00018572103324861978	1.2381447638119806e-05	7.428848143176565e-05	0.0009203507230365104	0.0013867163697720301	0.001007020166663632	0.00037969623717455696	0.0	0.0007882823059245672	0.0005943071105151698	0.0012298853810123569	0.001787048540373994	2.063567793121528e-05	3.714420664972395e-05	0.00048700163977870455	9.905124044336979e-05	0.0011886139655341481	0.000363187716972588	0.00030953499012089514	0.0	0.0	4.127149212706602e-06	0.00089146080629566	4.1271296246652547e-05	0.006322766652486538
