	а	б	в	г	д	е	ж	з	и	й	к	л	м	н	о	п	р	с	т	у	ф	х	ц	ч	ш	щ	ы	ь	э	ю	я
л	0.011156423264253913	0.00023842757017175647	0.0005165930810420916	0.00015398446006597349	0.0004271827052178252	0.0048033221771081784	0.00020862409922704843	0.00025332929330749125	0.008245620246136152	0.0	0.0007053482407613988	0.00011921378508587824	0.0002731982698250902	0.0012765808869448498	0.008111504577538488	0.0005563309477209548	9.934482090489854e-05	0.001937223982972283	0.00037751035644847215	0.0014504343975481379	5.960689254293912e-05	8.941033881440868e-05	4.967241045244927e-05	0.0005066585742783633	0.00040731376571008396	0.0	0.0009984154254209917	0.00540932557229144	8.444309776916374e-05	0.0012020722589295568	0.0019024531969626145
м	0.003750267013833158	0.00028313272724234156	0.0005712327572130242	0.0003775103071019952	0.0005662655038311601	0.00419731855986577	7.947585672391882e-05	0.00022352585937264092	0.0037949720352009313	0.0	0.0007699223250031058	0.00035267412654900904	0.0003675758496847438	0.002533292994758009	0.0060451322903799795	0.0009636447381042773	0.0001291482671763681	0.0009487429902953039	0.00042221551351905723	0.0026525067428340293	4.967241045244927e-05	6.954137463342896e-05	9.934482090489854e-05	0.0002682310041066068	6.954137463342896e-05	0.0	0.001574615485362357	0.00014404997797548363	8.444308543254451e-05	9.934482090489853e-06	0.0005761999982582692
н	0.01335194399130146	8.941033881440868e-05	0.0003924120179011107	7.947585672391882e-05	0.00046195341720777817	0.012244249053162551	2.980344627146956e-05	0.00017385341191033393	0.0075502063394258115	0.0	0.000725217229615617	2.980344627146956e-05	6.954138697004821e-05	0.0024240136917626203	0.011831968194446653	0.00032287066794092024	0.0001887551597193072	0.0007003809627062962	0.0010878257518987812	0.0034075273940478777	2.980344627146956e-05	3.973792836195941e-05	0.00045698621317239097	0.0002483620522622463	9.934482090489853e-06	0.00010927930299538839	0.003889349565714108	0.001038153390792809	6.954137463342896e-05	0.0001986896418097971	0.0021210118152900103
о	0.0002135913526089126	0.005528539209337888	0.009417889071130857	0.005627884178282217	0.0064325771659287986	0.0030101481597747605	0.0032237394877104343	0.001798141184358948	0.002125979130354971	0.004629468580148556	0.004356270458362897	0.007689289261405339	0.007316746084319015	0.00991461320032859	0.002036568791540562	0.004102941165055406	0.007674387402566793	0.010008990767851623	0.009710956206443973	0.0008295292792291412	0.00016888619553832748	0.0013461223479346136	0.00013908276160347718	0.003710529110144437	0.0013262533097339185	0.00045698613915267554	0.0	0.0	0.0005314948041778264	0.00023346030445327306	0.0012020723576225108
п	0.002349505051410708	0.0	9.934482090489853e-06	0.0	0.0	0.002235258470360217	0.0	0.0	0.0011673015469396038	0.0	0.0005513637436855676	0.001177236103049809	0.0	6.457413358818405e-05	0.011891574901940306	5.960689254293912e-05	0.006169313439877295	9.934482090489853e-06	0.00027319831917156716	0.0008692671829178621	9.934494427109098e-06	0.0	0.0	7.947586906053807e-05	1.9868964180979706e-05	0.0	0.0004222154888458188	3.973792836195941e-05	0.0	1.9868964180979706e-05	0.00028809998062420575
р	0.008374768217233658	5.960689254293912e-05	0.000511625802986989	0.0003030017037599405	0.00035267410187577055	0.0055484082228653454	0.0002483620522622463	8.941033881440868e-05	0.004549992649404921	0.0	0.000794758554902569	7.45086156786739e-05	0.00033280517470464857	0.0012219412971302519	0.008990706291893316	0.0003377724034132743	9.437756752303437e-05	0.0004321499709363087	0.0006507085399172276	0.003119427339403956	1.9868964180979706e-05	0.00023346032912651153	4.967241045244927e-05	9.934482090489854e-05	0.0005265275507959622	0.00010431204961352421	0.0017782722325145877	0.0005712327202031666	4.967241045244927e-05	0.0005861344310022821	0.0012368430202659866
с	0.001813043018524256	0.00020365687051842276	0.0013212861056985314	8.444309776916374e-05	0.0005314948041778264	0.004281761805674365	8.94103141411702e-05	0.00010927930299538839	0.0020564378790877344	0.0	0.00500697907229984	0.003337986019414448	0.0012318757545475034	0.0017683378121071938	0.003084656565730907	0.0022551275208975313	0.0003775103194386144	0.0008245620011740386	0.01099747161248917	0.0007301844706608619	3.973792836195941e-05	0.00016391896682970181	6.954138697004821e-05	0.0003228706432676818	5.960690487955836e-05	0.0	0.00037751028242875666	0.0041526136001810935	0.0	0.00021359137728215109	0.004311565264282454
т	0.007719092386924708	0.0002781655108703351	0.0026922447082058463	0.0002235258470360217	0.0004172482601371931	0.004783453089561007	0.00011424653170401406	0.0002731982698250902	0.004505287603363909	0.0	0.0010878257518987812	0.0004172482478005738	0.0003626085839662604	0.002175651528470801	0.016247845594698967	0.0006854792642437998	0.0037254308949632685	0.0021259791550282095	0.000556331009404051	0.002135913563098984	4.9672422789068507e-05	8.941035115102793e-05	3.973792836195941e-05	0.0003427396444585192	9.934482090489853e-06	9.934482090489853e-06	0.0018428464524591062	0.007465763328012983	0.00015895172578445692	0.0001887551597193072	0.0007500533484855069
у	0.00020862418558338316	0.00062587238403748	0.0012716137322559397	0.001395794610347632	0.0022501602305058095	0.00035764137993087323	0.0017484689096093104	0.0004172482478005738	0.0005911016843841463	0.00011921378508587824	0.0017981413200617597	0.0017782722941976838	0.0016391896682970183	0.001668992929519199	0.0005563310340772896	0.0016938292457749971	0.0008493982557467402	0.001967027416907133	0.002553161736879842	0.0001490172313573478	4.967241045244927e-05	0.0006904464559425679	0.00015895171344783765	0.001773305053152439	0.00046195341720777817	0.00040731375337346476	0.0	0.0	8.941033881440868e-05	0.0011871704617741066	0.00011921379742249748
ф	0.00028313272724234156	0.0	9.934482090489853e-06	0.0	0.0	1.9868964180979706e-05	0.0	0.0	0.0002682309917699876	0.0	3.973790368872093e-05	5.960689254293912e-05	3.973792836195941e-05	9.934482090489853e-06	0.00045698616382591404	9.934494427109098e-06	0.00011921380975911672	1.4901710799115539e-05	3.973792836195941e-05	8.941033881440868e-05	0.0	0.0	0.0	0.0	0.0	0.0	4.9672447462307e-05	3.973792836195941e-05	0.0	9.934482090489853e-06	0.0
